지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
401,1997-01-01,-0.7,-8.3,2338,8.9,722,10
401,1997-01-02,,,,,,0
401,1997-01-03,-5.7,-8.6,422,-2,1444,0
401,1997-01-04,-3.3,,,,,0
401,1997-01-05,-1.8,-5.8,2350,1.6,1426,0
401,1997-01-06,-6.3,-7.8,937,-4.8,1638,0
401,1997-01-07,-5.2,-7.8,648,-2.8,1448,1
401,1997-01-08,-2.7,-6.6,518,1.7,1425,3
401,1997-01-09,-1.7,-6.8,721,1.8,1401,0
401,1997-01-10,-0.5,-4.2,748,3.9,1451,0
401,1997-01-11,-0.3,-4.3,710,4.5,1453,0
401,1997-01-12,0.5,-2.1,145,4.4,1341,0
401,1997-01-13,1.8,-3.5,718,6.6,1436,1
401,1997-01-14,-4.3,-6.5,848,2.8,1,0
401,1997-01-15,-3.8,-8.7,737,0.4,1521,2.5
401,1997-01-16,-0.7,-4.1,754,3.5,1420,0
401,1997-01-17,0.9,-3.3,430,4.2,1531,0
401,1997-01-18,-2.7,-4.5,744,0.7,1508,0
401,1997-01-19,-2.3,-8.1,643,3,1411,0
401,1997-01-20,0.9,-3.2,2356,5.2,1327,0
401,1997-01-21,-9.1,-11.6,857,-3.2,1,0
401,1997-01-22,-7.5,-12.2,802,-2.5,1527,0
401,1997-01-23,-4.4,-8,409,-0.8,1606,0
401,1997-01-24,-5.4,-8.1,738,-0.5,1557,0
401,1997-01-25,-1.8,-7.1,141,2.7,1609,0
401,1997-01-26,1.3,-2,751,5.9,1508,0
401,1997-01-27,1.8,-3.3,459,7,1335,0
401,1997-01-28,-1.8,-4.7,2351,3.6,55,0
401,1997-01-29,-2.8,-5.5,610,0.7,1316,0
401,1997-01-30,-2.4,-6.9,737,1.2,1540,0
401,1997-01-31,-2.7,-4.6,751,-1,1353,4
401,1997-02-01,-1.9,-5.9,747,2.7,1432,0
401,1997-02-02,-2.7,-6.3,642,1.6,1412,16
401,1997-02-03,-2.9,-7.2,746,1.8,1410,4
401,1997-02-04,-1.1,-6.3,517,4.1,1425,6
401,1997-02-05,0.6,-3.5,757,4.7,1157,0
401,1997-02-06,-0.9,-2.9,849,1.6,1552,18.5
401,1997-02-07,-0.9,-5,714,3.8,1402,0
401,1997-02-08,1,-4.8,717,7,1445,0
401,1997-02-09,2.4,-2.7,740,8.8,1520,0
401,1997-02-10,0.2,-3.2,2304,4.6,1517,0
401,1997-02-11,-2.4,-5.6,804,2.2,1617,4
401,1997-02-12,-2.2,-5,717,1.5,1533,6.5
401,1997-02-13,-0.5,-6.1,711,4.1,1451,4
401,1997-02-14,2.1,-5.2,652,7.8,1440,0
401,1997-02-15,4.7,1.6,630,9.3,1228,3.5
401,1997-02-16,-3.6,-6.6,831,1.8,1,7
401,1997-02-17,-2.1,-5.5,643,1.9,1506,4.5
401,1997-02-18,-1.9,-4.5,652,2,1520,0.5
401,1997-02-19,0.8,-5.3,642,5.9,1601,0
401,1997-02-20,4.4,0.8,528,10.5,1448,5
401,1997-02-21,0.7,-2.4,2352,3.9,1501,0
401,1997-02-22,0.5,-4.7,715,6.1,1512,0
401,1997-02-23,2.9,-3.2,510,10.6,1445,0
401,1997-02-24,6.2,-1.1,426,12.7,1345,0
401,1997-02-25,5.7,4.8,646,8.2,1,14.5
401,1997-02-26,7.2,3.5,747,12.5,1510,0
401,1997-02-27,9,3.6,558,15.7,1604,0
401,1997-02-28,6.3,3.8,2355,9.5,3,20
401,1997-03-01,3.6,0.5,637,8.2,1353,0
401,1997-03-02,1.2,-1.3,2359,5.3,1454,0
401,1997-03-03,1.6,-2.9,617,5.8,1414,0
401,1997-03-04,5.5,0.4,450,10.7,1431,0
401,1997-03-05,7.8,4.6,334,13.5,1609,0
401,1997-03-06,6.8,4.5,105,8.7,1353,16
401,1997-03-07,6.9,4.9,751,11.6,1524,0
401,1997-03-08,6.2,1,437,10.4,1439,0
401,1997-03-09,9.1,4.3,648,14.7,1447,0
401,1997-03-10,8.8,5.6,453,12.7,1453,0
401,1997-03-11,8.8,4.7,700,14.5,1529,0
401,1997-03-12,10.7,4.1,608,17.7,1548,0
401,1997-03-13,13.2,6.6,632,20.2,1420,0
401,1997-03-14,7.1,3.7,2208,12.2,644,5
401,1997-03-15,4.4,3.4,1633,6.1,1136,1
401,1997-03-16,4.8,2.6,2359,7.7,1101,0
401,1997-03-17,6.2,0.4,632,12.9,1609,0
401,1997-03-18,6.8,1.7,601,11.6,1358,3.5
401,1997-03-19,8.8,1.8,649,15.5,1540,0
401,1997-03-20,10.2,5.2,605,16.3,1501,0
401,1997-03-21,8.5,5.6,513,12.3,1441,0
401,1997-03-22,8.5,3.1,506,13.7,1427,0
401,1997-03-23,5.3,2.1,756,8.4,1707,0
401,1997-03-24,5.3,1.5,633,10.7,1409,0
401,1997-03-25,7.1,0.6,650,13.7,1516,7
401,1997-03-26,8.9,,,,,0
401,1997-03-27,9.6,3.2,542,15.8,1420,0
401,1997-03-28,11.7,5.3,531,17.9,1348,2
401,1997-03-29,8.2,3,2359,15.7,1158,5.5
401,1997-03-30,2.9,0.7,2322,7.2,1452,0
